star,A,B,sigma_x2,sigma_y2,x,y
N/A,235.5312255,4334.9452,3.559314505,6.102408429,621.12,68.125
N/A,237.861381,4331.622523,2.988289102,4.233067602,788.51,618.8
N/A,194.2420334,4281.592389,4.063650788,5.791803788,57.132,423.21
N/A,264.7992761,4344.735038,3.182713278,4.539872059,875,503.06
N/A,241.0658034,4318.330879,4.631825956,3.27438351,423.05,457.63
N/A,190.3284997,4281.309114,3.590137638,5.524388052,112.11,477.76
N/A,212.0596833,4321.461361,3.31191498,4.288776682,412.47,267.19
N/A,209.5642745,4297.353614,6.001522852,3.548191634,78.84,173.91
N/A,177.2848552,4310.510984,3.926586652,3.837389916,625.7,751.78
N/A,212.4317249,4314.31619,3.541567723,3.540449676,391.58,566.9
N/A,185.5969155,4320.512711,3.460987537,3.89809151,405.63,188.63
N/A,167.5546033,4308.80287,3.363101489,3.537481769,914.98,881.5
N/A,207.9127858,4327.077344,1.944307752,3.493390244,470.61,421.41
N/A,467.0427922,4290.931454,1.775950574,4.28466154,3.1843,351.48
