name,x,y,mag,counts
N/A,2156.8,4151.1,N/A,N/A
N/A,2167.5,4151.0,N/A,N/A
N/A,2197.0,4151.1,N/A,N/A
N/A,2202.9,4150.9,N/A,N/A
N/A,2213.5,4150.8,N/A,N/A
N/A,2219.7,4151.1,N/A,N/A
N/A,2231.4,4151.0,N/A,N/A
N/A,2241.9,4150.9,N/A,N/A
N/A,2252.1,4151.1,N/A,N/A
N/A,2277.8,4151.2,N/A,N/A
N/A,2301.5,4150.9,N/A,N/A
N/A,2332.0,4151.0,N/A,N/A
N/A,2335.5,4151.3,N/A,N/A
N/A,2352.3,4150.9,N/A,N/A
N/A,2369.6,4151.2,N/A,N/A
N/A,2390.0,4151.2,N/A,N/A
N/A,2396.5,4151.1,N/A,N/A
N/A,2403.4,4151.3,N/A,N/A
N/A,2417.2,4151.6,N/A,N/A
N/A,2440.8,4151.2,N/A,N/A
N/A,2481.9,4151.4,N/A,N/A
N/A,2493.4,4151.1,N/A,N/A
N/A,2503.9,4150.8,N/A,N/A
N/A,2514.7,4151.3,N/A,N/A
N/A,2527.8,4151.4,N/A,N/A
N/A,2538.0,4150.9,N/A,N/A
N/A,2548.7,4150.7,N/A,N/A
N/A,2581.8,4151.1,N/A,N/A
N/A,2589.4,4151.0,N/A,N/A
N/A,2604.0,4151.4,N/A,N/A
N/A,2654.4,4151.1,N/A,N/A
N/A,2671.3,4151.1,N/A,N/A
N/A,2683.8,4151.2,N/A,N/A
N/A,2702.2,4151.3,N/A,N/A
N/A,2714.1,4151.1,N/A,N/A
N/A,2726.6,4151.0,N/A,N/A
N/A,2735.1,4150.7,N/A,N/A
N/A,2761.5,4151.4,N/A,N/A
N/A,2774.4,4151.2,N/A,N/A
N/A,2780.7,4151.1,N/A,N/A
N/A,2792.6,4151.2,N/A,N/A
N/A,2799.6,4151.2,N/A,N/A
N/A,2814.1,4150.7,N/A,N/A
N/A,2826.7,4151.1,N/A,N/A
N/A,2841.4,4151.2,N/A,N/A
N/A,2850.0,4151.2,N/A,N/A
N/A,2851.8,4151.2,N/A,N/A
N/A,2881.6,4151.0,N/A,N/A
N/A,2896.9,4151.1,N/A,N/A
N/A,2902.5,4151.3,N/A,N/A
N/A,2926.9,4151.3,N/A,N/A
N/A,2940.9,4151.1,N/A,N/A
N/A,2947.7,4150.9,N/A,N/A
N/A,2956.1,4151.2,N/A,N/A
N/A,2961.0,4150.9,N/A,N/A
N/A,2968.3,4151.1,N/A,N/A
N/A,2984.0,4151.2,N/A,N/A
N/A,2993.6,4151.4,N/A,N/A
N/A,3004.5,4151.0,N/A,N/A
N/A,3084.9,4151.1,N/A,N/A
N/A,3101.3,4151.4,N/A,N/A
N/A,3126.6,4151.1,N/A,N/A
N/A,3134.8,4151.1,N/A,N/A
N/A,3151.1,4151.1,N/A,N/A
N/A,3167.2,4151.1,N/A,N/A
N/A,3177.3,4151.1,N/A,N/A
N/A,3200.1,4151.1,N/A,N/A
N/A,3213.0,4151.3,N/A,N/A
N/A,3220.5,4151.2,N/A,N/A
N/A,3228.8,4151.1,N/A,N/A
N/A,3238.0,4151.4,N/A,N/A
N/A,3250.3,4151.4,N/A,N/A
N/A,3260.0,4151.5,N/A,N/A
N/A,3286.6,4151.0,N/A,N/A
N/A,3292.1,4151.2,N/A,N/A
N/A,3302.5,4151.0,N/A,N/A
N/A,3319.4,4151.1,N/A,N/A
N/A,3329.0,4151.1,N/A,N/A
N/A,3335.9,4151.2,N/A,N/A
N/A,3350.1,4151.0,N/A,N/A
N/A,3357.0,4151.3,N/A,N/A
N/A,3373.1,4151.3,N/A,N/A
N/A,3381.0,4151.3,N/A,N/A
N/A,3398.8,4150.9,N/A,N/A
N/A,3413.0,4151.2,N/A,N/A
N/A,3429.0,4151.0,N/A,N/A
N/A,3441.9,4151.3,N/A,N/A
N/A,3454.9,4151.3,N/A,N/A
N/A,3469.0,4151.2,N/A,N/A
N/A,3480.5,4151.0,N/A,N/A
N/A,3491.0,4151.3,N/A,N/A
N/A,3527.1,4151.0,N/A,N/A
N/A,3545.4,4151.5,N/A,N/A
N/A,3555.2,4151.2,N/A,N/A
N/A,3574.0,4151.1,N/A,N/A
N/A,3583.0,4151.3,N/A,N/A
N/A,3606.0,4151.3,N/A,N/A
N/A,3621.4,4151.5,N/A,N/A
N/A,3625.4,4151.4,N/A,N/A
N/A,3642.3,4151.4,N/A,N/A
N/A,3655.4,4151.2,N/A,N/A
N/A,3663.7,4151.2,N/A,N/A
N/A,3677.8,4151.2,N/A,N/A
N/A,3686.2,4150.9,N/A,N/A
N/A,3698.9,4151.1,N/A,N/A
N/A,3704.2,4151.1,N/A,N/A
N/A,3709.9,4151.2,N/A,N/A
N/A,3725.9,4151.2,N/A,N/A
N/A,3736.5,4151.3,N/A,N/A
N/A,3769.0,4150.8,N/A,N/A
N/A,3776.5,4151.3,N/A,N/A
N/A,3789.3,4151.3,N/A,N/A
N/A,3804.7,4151.1,N/A,N/A
N/A,3810.9,4151.3,N/A,N/A
N/A,3818.1,4151.1,N/A,N/A
N/A,3822.7,4151.2,N/A,N/A
N/A,3840.9,4151.2,N/A,N/A
N/A,3859.4,4151.2,N/A,N/A
N/A,3883.8,4151.0,N/A,N/A
N/A,3893.3,4151.1,N/A,N/A
N/A,3899.5,4151.2,N/A,N/A
N/A,3912.9,4151.6,N/A,N/A
N/A,3926.8,4151.2,N/A,N/A
N/A,3937.1,4151.1,N/A,N/A
N/A,3974.1,4151.2,N/A,N/A
N/A,3984.3,4151.1,N/A,N/A
N/A,3998.1,4151.3,N/A,N/A
N/A,4007.2,4151.2,N/A,N/A
N/A,4013.3,4151.2,N/A,N/A
N/A,4021.4,4151.1,N/A,N/A
N/A,4032.3,4151.1,N/A,N/A
N/A,4037.8,4151.3,N/A,N/A
N/A,4048.5,4151.0,N/A,N/A
N/A,4059.4,4151.0,N/A,N/A
N/A,4068.5,4151.0,N/A,N/A
N/A,4083.0,4151.2,N/A,N/A
N/A,4090.3,4151.4,N/A,N/A
N/A,4094.3,4151.2,N/A,N/A
N/A,4136.3,4150.9,N/A,N/A
N/A,4145.4,4151.2,N/A,N/A
N/A,4153.8,4151.1,N/A,N/A
N/A,4163.9,4151.3,N/A,N/A
N/A,4179.0,4151.0,N/A,N/A
N/A,4197.6,4150.9,N/A,N/A
N/A,4205.3,4151.1,N/A,N/A
N/A,4220.0,4151.2,N/A,N/A
N/A,4232.5,4151.3,N/A,N/A
N/A,4245.6,4150.9,N/A,N/A
N/A,4259.5,4151.1,N/A,N/A
N/A,4271.3,4151.1,N/A,N/A
N/A,4280.0,4151.4,N/A,N/A
N/A,4289.9,4151.4,N/A,N/A
N/A,4303.2,4151.2,N/A,N/A
N/A,4334.3,4151.1,N/A,N/A
N/A,4345.0,4150.9,N/A,N/A
N/A,4351.5,4151.2,N/A,N/A
N/A,4366.6,4151.2,N/A,N/A
N/A,4382.5,4151.4,N/A,N/A
N/A,4401.3,4151.2,N/A,N/A
N/A,4413.9,4151.2,N/A,N/A
N/A,4423.0,4151.0,N/A,N/A
N/A,4449.1,4151.2,N/A,N/A
N/A,4458.6,4151.1,N/A,N/A
N/A,4464.2,4150.8,N/A,N/A
N/A,4471.8,4151.1,N/A,N/A
N/A,4479.0,4151.3,N/A,N/A
N/A,4506.0,4151.0,N/A,N/A
N/A,4516.1,4151.3,N/A,N/A
N/A,4531.4,4151.4,N/A,N/A
N/A,4555.4,4150.9,N/A,N/A
N/A,4563.6,4151.2,N/A,N/A
N/A,4570.7,4151.0,N/A,N/A
N/A,4584.2,4151.1,N/A,N/A
N/A,4596.8,4151.3,N/A,N/A
N/A,4632.9,4151.3,N/A,N/A
N/A,4636.2,4151.4,N/A,N/A
N/A,4645.3,4150.9,N/A,N/A
N/A,4659.9,4151.1,N/A,N/A
N/A,4669.3,4151.6,N/A,N/A
N/A,4692.5,4151.5,N/A,N/A
N/A,4704.2,4151.1,N/A,N/A
N/A,4718.5,4151.4,N/A,N/A
N/A,4726.5,4151.3,N/A,N/A
N/A,4732.0,4151.0,N/A,N/A
N/A,4746.3,4151.3,N/A,N/A
N/A,4754.9,4151.0,N/A,N/A
N/A,4765.6,4151.3,N/A,N/A
N/A,4776.9,4151.0,N/A,N/A
N/A,4787.5,4151.0,N/A,N/A
N/A,4800.6,4151.1,N/A,N/A
