star,a,b,sigma_x2,sigma_y2,x,y
GSC06326-01273,44.37042382978588,508.9192508638683,29.768729593833466,64.08301460142103,4407.7,736.49
N/A,43.658293338627495,507.83054312970677,35.34334984705894,65.07285019694156,4415.2,724.86
N/A,60.37035608821616,506.0405103316079,17.06901888270923,36.49471641404079,1265.8,1098.9
GSC06892-00379,63.47891355816303,506.27528688724107,27.30083208073397,27.524800643212288,4662.3,2835.6
N/A,55.35883311927333,503.2807541131095,20.657827707499777,31.55493976070219,711.8,1623.8
GSC06892-00401,81.47412318278293,504.4262672853399,14.383408816627066,17.612918406076467,1445.5,2603.9
GSC06326-01220,33.1409077251694,508.88250488204187,23.759522080952355,128.0334801094734,3486.9,283.84
GSC06892-00536,73.0380219005773,502.7542823829188,15.604518510996774,19.084101762292345,1379.6,2659.3
GSC06892-00045,65.5216492804858,509.04777705792145,17.04731783412456,20.965391545619955,3572.2,2489.3
N/A,32.01879304459854,511.0910974616555,22.522019718830986,59.96446169116768,3489.9,277.97
N/A,34.88648870431767,506.0134739896594,43.77016357881091,58.6001887054479,4832.2,1316.2
N/A,60.45602084706895,504.26685686320127,15.504377879726658,20.861829522456784,1079.1,1950.7
N/A,33.69929753002882,506.8145957878816,35.757963680976864,66.31197539974953,4840.3,1305.4
GSC06892-00279,64.61743118195247,502.74602101508526,14.915440904160643,18.282202700414196,982.26,2457.7
GSC06892-00334,66.9393537142666,503.48962839197435,15.277736689710093,19.60712943498707,2699.9,3161.5
GSC06326-01585,34.12435883620244,506.53625329332806,15.591520304320976,49.233007336817856,1089.0,459.75
GSC06892-00233,44.387015110244704,503.0288973054637,32.44203788111201,39.39235113152302,4306.7,2032.9
GSC06892-00382,53.296553977331385,508.05961198908375,15.821686743033071,22.281706097011288,3197.1,2123.3
GSC06326-01168,30.214207596830732,506.5220573757854,16.725849887325687,66.04361070001806,1858.7,292.57
GSC06326-01239,42.73946123815743,507.13571727767624,14.041641276648237,29.82480754629657,2206.0,1285.7
GSC06892-00424,48.563001380068464,506.4699116204961,18.702584955721154,23.506427617263192,3554.8,2414.3
GSC06892-00557,55.12495536965463,502.34340989725047,15.2217686219407,19.095438878604487,2945.5,3685.9
N/A,25.54845290174969,508.0545972395331,35.0483086131811,45.43499331520486,4932.3,1546.5
GSC06892-00096,50.38270608069482,499.14988014732353,15.6082898002446,19.333052391674883,2131.9,4061.8
N/A,41.50066569238585,498.80074889588326,21.82341866698037,21.322389078409802,121.46,2359.3
N/A,35.92231940620672,505.65261333600756,29.99155442595002,30.210054191752665,4832.9,2359.4
GSC06892-00479,52.77765482628808,502.85969285655744,15.139319486153527,18.94525406804246,2821.1,3315.9
GSC06326-01415,32.78657718352321,506.0459776087675,26.088885761759272,37.38005475035541,4037.7,1631.5
GSC06892-00151,48.72293096933617,506.3284373580518,14.310809484227086,20.21242215850264,2730.5,2296.9
N/A,48.323336297595574,501.9905439023328,16.911624945774527,19.73978041244531,3824.3,4112.7
GSC06892-00035,37.184161138903214,506.2700283243836,22.805706447448298,24.967603964057748,4438.4,2610.8
N/A,34.76224789717459,497.17483467300434,21.68233521081276,23.521908808514347,134.18,3232.0
N/A,34.24962363239812,505.0498300441494,13.509607036152806,33.935355922731965,1662.1,1057.5
GSC06892-00407,46.760456706295884,500.3211136602837,15.321701756583403,18.13594830396364,1295.3,2810.5
N/A,34.64315455391713,500.29109915806146,19.179960284109224,22.80431463810661,389.38,1990.1
N/A,36.76061151792681,492.413659859558,24.012073953406794,24.732109793240234,39.448,3842.0
N/A,41.61256141767092,498.34494293600056,16.95668513856909,19.39508303581266,1013.6,3114.2
GSC06326-01451,33.481488010447386,500.97505237174636,18.296097995516423,23.310997467088022,552.56,1689.0
GSC06892-00011,43.68684728865371,498.8056857721542,15.495431327571799,20.10699830981521,2107.4,3748.0
GSC06892-00065,43.22999775562059,505.174504258231,14.361815203694304,18.138212573046662,2834.3,2663.1
GSC06326-01051,26.641127172611863,504.5516474045708,14.880345294620813,38.26588312038631,1340.2,808.83
GSC06892-00554,43.1974771054653,500.32957364838734,13.845371987522489,17.49578151617875,1752.3,3031.9
GSC06326-01466,24.838106038369006,504.17333718791446,35.55842859304975,42.96990693706652,4678.6,1895.1
GSC06892-00332,38.981673014531296,505.4925712786192,14.652077871813347,20.158331749514954,2682.3,2316.9
GSC06326-01488,26.521844303061883,503.4138912753155,35.49732276230962,45.00241682432477,4614.1,1719.0
GSC06326-01091,20.990420342621768,505.66327663177066,26.406479263707375,69.36426482211346,3618.3,1020.9
N/A,31.228831306683116,494.9247690842276,19.53201925083009,22.24351759067235,452.64,3391.0
GSC06326-01509,20.411043681995075,506.1826024690181,17.27075606861919,56.111068226873506,2904.2,774.36
N/A,28.59584126425773,503.76717733436794,22.16099866725343,21.017268906877064,4393.6,3476.9
GSC06326-01482,18.919153315327122,504.6788919645349,15.308722965575223,46.3427462087753,1565.2,482.32
